object;tag
2760;tymczasowe
3843;Sauna
3843;Łaźnia
3935;Sauna
3935;Łaźnia
11264;Zdarzenia
11265;Zdarzenia
4355;ARR
4356;ARR
4392;Słońce
4392;ARR
4393;Słońce
4393;ARR
11271;All_pwr
11272;All_pwr
11273;All_pwr
11275;F0_pwr
11276;F0_pwr
11277;F0_pwr
11278;F0_pwr
11279;F0_pwr
11280;F0_pwr
11281;F0_pwr
11282;F0_pwr
11283;F0_pwr
11284;F1_pwr
11285;F1_pwr
11286;F1_pwr
11287;F1_pwr
11288;F1_pwr
11290;F1_pwr
11291;F1_pwr
11292;F1_pwr
11293;F1_pwr
11294;F1_pwr
11295;F1_pwr
11296;F01_pwr
11297;F01_pwr
11298;F01_pwr
11300;F01_pwr
11301;F01_pwr
11302;F01_pwr
11303;F01_pwr
11304;F01_pwr
11305;F01_pwr
7208;R0.6_pwr
4357;ARR
14442;Kuchnia_rolety_naOknach_avg
14452;Kuchnia_rolety_naOknach_avg
14462;Kuchnia_rolety_naOknach_avg
14472;Kuchnia_rolety_naOknach_avg
14502;Jadalnia_Rn_przyKuchni_avg
14512;Jadalnia_Rn_przyKuchni_avg
14522;Jadalnia_Rn_przyKuchni_avg
14608;Jadalnia_Rn_przyDrzewie_avg
14618;Jadalnia_Rn_przyDrzewie_avg
14340;Jadalnia_Rn_przyKuchniIDrzewie_avg
14341;Jadalnia_Rn_przyKuchniIDrzewie_avg
14798;Muzyczny_Z_okna_avg
14808;Muzyczny_Z_okna_avg
14748;Sypialnia_F_avg
14768;Sypialnia_F_avg
14758;Sypialnia_Z_avg
14778;Sypialnia_Z_avg
14532;Jadalnia_Rn_przyKuchni_avg
14542;Jadalnia_Rn_przyKuchni_avg
14552;Jadalnia_Rn_przyKuchni_avg
14562;Jadalnia_Rn_przyKuchni_avg
14572;Jadalnia_Rn_przyKuchni_avg
14363;Gabinet_Sz_Rp_ms_or
14373;Gabinet_Sz_Rp_ms_or
14383;Gabinet_Sz_Rp_ms_or
14393;Gabinet_Sz_Rnp_ms_or
14403;Gabinet_Sz_Rnp_ms_or
14413;Gabinet_Sz_Rnp_ms_or
14649;Salon_G_R_ms_or
14659;Salon_G_R_ms_or
14669;Salon_G_R_ms_or
14503;Jadalnia_Rnp_Kuchnia_ms_or
14513;Jadalnia_Rnp_Kuchnia_ms_or
14523;Jadalnia_Rnp_Kuchnia_ms_or
14543;Jadalnia_Rnp_Kuchnia_ms_or
14563;Jadalnia_Rnp_Kuchnia_ms_or
14573;Jadalnia_Rnp_Kuchnia_ms_or
14599;Jadalnia_Rnp_drzewo_ms_or
14609;Jadalnia_Rnp_drzewo_ms_or
14619;Jadalnia_Rnp_drzewo_ms_or
14749;Sypialnia_F_ms_or
14769;Sypialnia_F_ms_or
14759;Sypialnia_Z_ms_or
14779;Sypialnia_Z_ms_or
14699;Gabinet_P_Rnp_ms_or
14709;Gabinet_P_Rnp_ms_or
14719;Gabinet_P_Rnp_ms_or
14799;Muzyczny_Ż_okna_ms_or
14809;Muzyczny_Ż_okna_ms_or
14433;Kuchnia_Rnp_okna_ms_or
14443;Kuchnia_Rnp_okna_ms_or
14453;Kuchnia_Rnp_okna_ms_or
14463;Kuchnia_Rnp_okna_ms_or
14473;Kuchnia_Rnp_okna_ms_or
14392;Gabinet_Sz_Rnp_avg
14402;Gabinet_Sz_Rnp_avg
14412;Gabinet_Sz_Rnp_avg
6162;Osw_liczba_sum
6191;Osw_liczba_sum
6451;Osw_liczba_sum
6452;Osw_liczba_sum
6668;R01.2_pwr
6668;Osw_liczba_sum
6912;R1.12_pwr
6656;Piwnica_status
6666;Piwnica_status
6671;Piwnica_status
6677;Piwnica_status
6678;R01.6_pwr
6678;Piwnica_status
6679;R01.7_pwr
6679;Piwnica_status
6684;Piwnica_status
6148;Parter_status
6174;Parter_status
6181;Parter_status
6186;Parter_status
6193;Parter_status
6194;Parter_status
6195;Parter_status
6403;Piętro_status
6411;Piętro_status
6418;Piętro_status
6429;Piętro_status
6431;Piętro_status
6438;Piętro_status
6442;Piętro_status
6448;Piętro_status
6453;R1.5_pwr
6453;Piętro_status
6457;Piętro_status
6685;Osw_Dom_status
6196;Osw_Dom_status
6458;Osw_Dom_status
6941;Osw_Zewn_status
6942;Osw_Zewn_status
6952;Osw_Zewn_status
6957;Osw_Zewn_status
6958;Osw_Zewn_status
656;Satel
657;Satel
658;Satel
659;Satel
660;Satel
661;Satel
662;Satel
663;Satel
680;Satel
681;Satel
682;Satel
683;Satel
684;Satel
685;Satel
686;Satel
687;Satel
688;Satel
689;Satel
690;Satel
691;Satel
692;Satel
693;Satel
694;Satel
695;Satel
696;Satel
697;Satel
698;Satel
699;Satel
700;Satel
701;Satel
702;Satel
703;Satel
704;Satel
705;Satel
706;Satel
707;Satel
708;Satel
709;Satel
710;Satel
711;Satel
712;Satel
713;Satel
714;Satel
715;Satel
716;Satel
717;Satel
718;Satel
719;Satel
720;Satel
721;Satel
722;Satel
723;Satel
724;Satel
725;Satel
726;Satel
727;Satel
728;Satel
729;Satel
730;Satel
731;Satel
732;Satel
733;Satel
734;Satel
735;Satel
736;Satel
737;Satel
738;Satel
739;Satel
740;Satel
741;Satel
742;Satel
743;Satel
744;Satel
745;Satel
746;Satel
747;Satel
748;Satel
749;Satel
750;Satel
751;Satel
752;Satel
753;Satel
754;Satel
755;Satel
756;Satel
757;Satel
759;Satel
758;Satel
632;Satel
633;Satel
634;Satel
635;Satel
636;Satel
637;Satel
638;Satel
639;Satel
640;Satel
641;Satel
642;Satel
643;Satel
644;Satel
645;Satel
646;Satel
647;Satel
654;Satel
655;Satel
764;Satel
765;Satel
766;Satel
763;Satel
761;Satel
760;Satel
653;Satel
652;Satel
651;Satel
649;Satel
648;Satel
767;Satel
780;Satel
781;Satel
782;Satel
783;Satel
791;Satel
792;Satel
793;Satel
794;Satel
795;Satel
799;Satel
800;Satel
801;Satel
802;Satel
803;Satel
804;Satel
805;Satel
806;Satel
807;Satel
808;Satel
809;Satel
810;Satel
811;Satel
812;Satel
813;Satel
814;Satel
815;Satel
816;Satel
817;Satel
818;Satel
819;Satel
820;Satel
821;Satel
822;Satel
823;Satel
824;Satel
825;Satel
826;Satel
827;Satel
828;Satel
829;Satel
830;Satel
831;Satel
832;Satel
833;Satel
834;Satel
835;Satel
836;Satel
837;Satel
838;Satel
839;Satel
840;Satel
841;Satel
842;Satel
843;Satel
844;Satel
845;Satel
846;Satel
847;Satel
848;Satel
849;Satel
850;Satel
851;Satel
852;Satel
853;Satel
854;Satel
855;Satel
856;Satel
857;Satel
858;Satel
859;Satel
860;Satel
861;Satel
862;Satel
863;Satel
864;Satel
865;Satel
866;Satel
867;Satel
868;Satel
869;Satel
870;Satel
871;Satel
872;Satel
873;Satel
874;Satel
875;Satel
876;Satel
877;Satel
878;Satel
879;Satel
880;Satel
881;Satel
882;Satel
883;Satel
884;Satel
885;Satel
886;Satel
887;Satel
888;Satel
889;Satel
890;Satel
891;Satel
892;Satel
893;Satel
894;Satel
895;Satel
896;Satel
897;Satel
898;Satel
899;Satel
900;Satel
901;Satel
902;Satel
903;Satel
904;Satel
905;Satel
906;Satel
907;Satel
908;Satel
909;Satel
910;Satel
911;Satel
912;Satel
913;Satel
914;Satel
915;Satel
916;Satel
917;Satel
918;Satel
919;Satel
920;Satel
921;Satel
922;Satel
923;Satel
924;Satel
925;Satel
926;Satel
927;Satel
928;Satel
929;Satel
930;Satel
931;Satel
932;Satel
933;Satel
934;Satel
935;Satel
936;Satel
937;Satel
938;Satel
939;Satel
940;Satel
941;Satel
942;Satel
943;Satel
944;Satel
945;Satel
946;Satel
947;Satel
948;Satel
949;Satel
950;Satel
951;Satel
952;Satel
953;Satel
954;Satel
955;Satel
956;Satel
957;Satel
958;Satel
959;Satel
960;Satel
961;Satel
962;Satel
963;Satel
964;Satel
965;Satel
966;Satel
967;Satel
968;Satel
969;Satel
970;Satel
971;Satel
972;Satel
973;Satel
974;Satel
975;Satel
976;Satel
977;Satel
978;Satel
979;Satel
980;Satel
981;Satel
982;Satel
983;Satel
984;Satel
985;Satel
986;Satel
987;Satel
988;Satel
989;Satel
990;Satel
991;Satel
992;Satel
993;Satel
994;Satel
995;Satel
996;Satel
997;Satel
998;Satel
999;Satel
1000;Satel
1001;Satel
1002;Satel
1003;Satel
1004;Satel
1005;Satel
1006;Satel
1007;Satel
1008;Satel
1009;Satel
1010;Satel
1011;Satel
1012;Satel
1013;Satel
1014;Satel
1015;Satel
1016;Satel
1017;Satel
1018;Satel
1019;Satel
1020;Satel
1021;Satel
1022;Satel
1023;Satel
768;Satel
772;Satel
773;Satel
774;Satel
775;Satel
776;Satel
777;Satel
778;Satel
779;Satel
787;Satel
788;Satel
789;Satel
790;Satel
797;Satel
798;Satel
796;Satel
786;Satel
785;Satel
784;Satel
769;Satel
770;Satel
771;Satel
91;Satel
90;Satel
513;Satel
514;Satel
515;Satel
516;Satel
517;Satel
518;Satel
519;Satel
520;Satel
521;Satel
522;Satel
523;Satel
524;Satel
525;Satel
526;Satel
536;Satel
537;Satel
538;Satel
539;Satel
540;Satel
541;Satel
556;Satel
559;Satel
567;Satel
568;Satel
570;Satel
571;Satel
573;Satel
574;Satel
575;Satel
576;Satel
577;Satel
578;Satel
579;Satel
580;Satel
581;Satel
582;Satel
583;Satel
584;Satel
585;Satel
586;Satel
587;Satel
588;Satel
589;Satel
590;Satel
591;Satel
592;Satel
593;Satel
600;Satel
602;Satel
609;Satel
610;Satel
594;Satel
595;Satel
596;Satel
597;Satel
598;Satel
599;Satel
601;Satel
603;Satel
604;Satel
605;Satel
606;Satel
607;Satel
615;Satel
616;Satel
617;Satel
618;Satel
619;Satel
620;Satel
621;Satel
622;Satel
623;Satel
624;Satel
625;Satel
626;Satel
627;Satel
628;Satel
629;Satel
630;Satel
631;Satel
527;Satel
555;Satel
557;Satel
558;Satel
563;Satel
566;Satel
3427;Satel
3451;Satel
6927;Osw_liczba_sum
6663;R01.1_pwr
6663;Osw_liczba_sum
6665;R01.1_pwr
6665;Osw_liczba_sum
6667;R01.2_pwr
6667;Osw_liczba_sum
6669;R01.2_pwr
6669;Osw_liczba_sum
6672;R01.2_pwr
6672;Osw_liczba_sum
6674;R01.3_pwr
6674;Osw_liczba_sum
6674;Kotłownia_status
6673;R01.3_pwr
6673;Osw_liczba_sum
6673;Kotłownia_status
6657;R01.8_pwr
6657;Osw_liczba_sum
6658;R01.8_pwr
6658;Osw_liczba_sum
6660;Osw_liczba_sum
6661;Osw_liczba_sum
6662;Osw_liczba_sum
7684;R01.8_pwr
7685;R01.8_pwr
7686;R01.8_pwr
6659;R01.8_pwr
6659;Osw_liczba_sum
6680;R01.5_pwr
6680;Osw_liczba_sum
6680;Piwnica_status
6676;R01.4_pwr
6676;Osw_liczba_sum
6675;R01.4_pwr
6150;R0.1_pwr
6150;Osw_liczba_sum
6150;Hall_0p_status
6153;Osw_liczba_sum
6153;Hall_0p_status
7177;R0.1_pwr
6151;Osw_liczba_sum
6151;Hall_0p_status
7175;R0.1_pwr
6155;Osw_liczba_sum
7179;R0.2_pwr
6156;Osw_liczba_sum
7180;R0.2_pwr
6157;Osw_liczba_sum
7181;R0.2_pwr
6158;R0.2_pwr
6158;Osw_liczba_sum
6159;Osw_liczba_sum
7183;R0.2_pwr
6145;Osw_liczba_sum
7169;R0.3_pwr
6146;Osw_liczba_sum
7170;R0.3_pwr
6147;Osw_liczba_sum
7171;R0.3_pwr
6167;Osw_liczba_sum
7191;R0.3_pwr
6168;Osw_liczba_sum
7192;R0.5_pwr
6170;Osw_liczba_sum
7194;R0.5_pwr
6171;Osw_liczba_sum
7195;R0.5_pwr
6152;Osw_liczba_sum
6152;Hall_0p_status
7176;R0.5_pwr
6182;Osw_liczba_sum
6183;Osw_liczba_sum
7206;R0.6_pwr
7207;R0.6_pwr
6184;Osw_liczba_sum
6175;Osw_liczba_sum
7199;R0.8_pwr
6176;Osw_liczba_sum
7200;R0.8_pwr
6177;Osw_liczba_sum
7201;R0.8_pwr
6178;Osw_liczba_sum
7202;R0.8_pwr
6187;Osw_liczba_sum
6187;Komunikacja_0p_status
7211;R0.9_pwr
6190;R0.9_pwr
6190;Osw_liczba_sum
6190;Komunikacja_0p_status
6192;R0.9_pwr
6192;Osw_liczba_sum
6192;Komunikacja_0p_status
6189;R0.9_pwr
6189;Osw_liczba_sum
6189;Komunikacja_0p_status
6164;R0.4_pwr
6164;Osw_liczba_sum
6164;Łazienka_obok_windy_status
6165;R0.4_pwr
6165;Osw_liczba_sum
6165;Łazienka_obok_windy_status
6419;Osw_liczba_sum
6419;Piętro_status
7443;R1.10_pwr
6422;Osw_liczba_sum
7446;R1.8_pwr
6423;Osw_liczba_sum
7447;R1.8_pwr
6420;Osw_liczba_sum
7444;R1.8_pwr
6421;Osw_liczba_sum
7445;R1.8_pwr
6432;Osw_liczba_sum
7456;R1.7_pwr
6434;Osw_liczba_sum
7458;R1.7_pwr
6433;Osw_liczba_sum
7457;R1.7_pwr
6435;Osw_liczba_sum
7459;R1.7_pwr
6426;R1.11_pwr
6426;Osw_liczba_sum
6424;R1.11_pwr
6424;Osw_liczba_sum
6425;R1.11_pwr
6425;Osw_liczba_sum
6439;Osw_liczba_sum
7463;R1.9_pwr
6440;R1.9_pwr
6440;Osw_liczba_sum
6441;R1.9_pwr
6441;Osw_liczba_sum
6456;Osw_liczba_sum
7480;R1.2_pwr
6455;Osw_liczba_sum
7479;R1.2_pwr
6454;Osw_liczba_sum
7478;R1.2_pwr
6408;Osw_liczba_sum
7432;R1.3_pwr
6404;Osw_liczba_sum
6405;Osw_liczba_sum
7428;R1.3_pwr
6406;Osw_liczba_sum
6407;Osw_liczba_sum
7430;R1.3_pwr
6409;Osw_liczba_sum
7433;R1.3_pwr
6410;Osw_liczba_sum
7434;R1.3_pwr
6443;R1.4_pwr
6443;Osw_liczba_sum
6444;Osw_liczba_sum
7468;R1.4_pwr
6445;Osw_liczba_sum
7469;R1.4_pwr
6447;R1.4_pwr
6447;Osw_liczba_sum
6446;Osw_liczba_sum
7470;R1.4_pwr
6400;Osw_liczba_sum
7424;R1.6_pwr
6401;Osw_liczba_sum
7425;R1.6_pwr
6402;Osw_liczba_sum
7426;R1.6_pwr
6664;R01.1_pwr
6664;Osw_liczba_sum
6681;R01.9_pwr
6681;Osw_liczba_sum
6683;Osw_liczba_sum
665;Satel
664;Satel
666;Satel
668;Satel
667;Satel
669;Satel
670;Satel
671;Satel
672;Satel
673;Satel
674;Satel
675;Satel
676;Satel
677;Satel
678;Satel
679;Satel
6161;Parter_status
3163;Satel
3164;Satel
3165;Satel
3166;Satel
3167;Satel
3168;Satel
3169;Satel
3170;Satel
3171;Satel
3172;Satel
562;Satel
561;Satel
564;Satel
565;Satel
569;Satel
572;Satel
3236;Pogoda
3235;Pogoda
528;Satel
528;Obecnosc
